Country,Scholars
Albania,3
Antigua,2
Argentina,11
Armenia,1
Australia,3
Austria,7
Bangladesh,26
Barbados,1
Belgium,1
Bolivia,5
Bosnia-Herzegovina,2
Brazil,9
Bulgaria,9
Burundi,1
Cameroon,6
Canada,7
Chile,7
"China, People's Rep.",26
Colombia,13
Costa Rica,4
Croatia,1
Cuba,1
Cyprus,5
Czech Republic,2
Denmark,7
Dominican Republic,5
Ecuador,4
Egypt,1
England,31
Eritrea,1
Estonia,1
Ethiopia,14
Finland,15
France,16
"Gambia, The",1
"Georgia, Rep. of",1
Germany,30
Ghana,20
Greece,33
Grenada,1
Guatemala,2
Haiti,1
Honduras,1
Hong Kong,6
Hungary,7
Iceland,12
India,71
Indonesia,5
Iran,6
Iraq,1
Ireland,4
Israel,26
Italy,20
Ivory Coast,1
Jamaica,7
Japan,20
Jordan,1
Kazakhstan,2
Kenya,18
Korea (South),13
Liberia,2
Libya,1
Lithuania,1
Luxembourg,1
Malagasy,1
Malawi,1
Malaysia,28
Malta,2
Mauritius,4
Mexico,11
Mongolia,2
Morocco,2
Myanmar (Burma),3
Namibia,1
Nepal,14
"Netherlands, The",18
New Zealand,2
Nicaragua,1
Nigeria,20
Norway,16
Oman,1
Pakistan,19
Palestine,2
Panama,5
Paraguay,3
Peru,8
Philippines,13
Poland,6
Republic of Benin,1
Romania,10
Russia,3
Rwanda,4
Serbia,1
Seychelles,2
Sierra Leone,3
Singapore,8
Slovak Rep./Slovakia,3
Somalia,2
South Africa,6
Spain,6
Sri Lanka,9
Swaziland,1
Sweden,14
Switzerland,5
Taiwan (Rep. China),7
Tanzania,5
Thailand,9
Tibet,1
Trinidad,3
Turkey,34
Uganda,2
Ukraine,1
Uzbekistan,1
Venezuela,3
Vietnam,15
Yugoslavia,7
Zaire,2
Zambia,1
Zimbabwe (Rhodesia),8
